name,brier_score,brier_null,brier_skill_score,time_dependent_auc,n_months_evaluated,mean_pred,mean_observed,n_rows,n_events,label,train_events,test_events,n_patients,features_used
"Baseline (Diso pool, censor gaps)",0.013506936132996509,0.013628128077573803,0.008892779983241117,0.7203074950341029,9,0.015414764090208885,0.013819095477386936,3980,55,"Baseline (Diso pool, censor gaps)",91,55,775,4
Risk set: full oHCM (no Diso conditioning),0.002917152163790857,0.0029574320814107695,0.013619896082515681,0.914490428830693,9,0.0041851538944276305,0.0029662306054152724,13148,39,Risk set: full oHCM (no Diso conditioning),79,39,2109,3
Censoring: allow enrollment gaps,0.013506936132996509,0.013628128077573803,0.008892779983241117,0.7203074950341029,9,0.015414764090208885,0.013819095477386936,3980,55,Censoring: allow enrollment gaps,91,55,775,4
Features: clinical priors (7 features),0.013596026437882705,0.013628128077573803,0.0023555428528679867,0.6312044210484454,9,0.015074353532099953,0.013819095477386936,3980,55,Features: clinical priors (7 features),91,55,775,7
Split: earlier cutoff (Dec 2022),0.013780836493609627,0.013533516592232455,-0.01827462209778652,0.7089293397033649,12,0.028418830640343617,0.013721804511278196,5320,73,Split: earlier cutoff (Dec 2022),73,73,775,4
Split: later cutoff (Sep 2023),0.01059886573863536,0.010612880022313234,0.0013204977016991748,0.6762224993619865,3,0.014258671666256073,0.010727969348659003,1305,14,Split: later cutoff (Sep 2023),132,14,775,4
