name,brier_score,brier_null,brier_skill_score,time_dependent_auc,n_months_evaluated,mean_pred,mean_observed,n_rows,n_events,label,train_events,test_events,n_patients,features_used
"Baseline (Diso pool, censor gaps)",0.013085017650536315,0.013187414822334907,0.007764764601562835,0.744122261985117,9,0.01839895533539286,0.01336606655755592,3666,49,"Baseline (Diso pool, censor gaps)",83,49,710,6
Risk set: full oHCM (no Diso conditioning),0.002935719088806744,0.00295743208141077,0.007341839814515194,0.9267894350824694,9,0.003966338647906395,0.0029662306054152724,13148,39,Risk set: full oHCM (no Diso conditioning),79,39,2109,5
Censoring: allow enrollment gaps,0.013085017650536315,0.013187414822334907,0.007764764601562835,0.744122261985117,9,0.01839895533539286,0.01336606655755592,3666,49,Censoring: allow enrollment gaps,83,49,710,6
Features: clinical priors (7 features),0.013203017775060676,0.013187414822334907,-0.001183169934060535,0.641194412074828,9,0.01871641824061735,0.01336606655755592,3666,49,Features: clinical priors (7 features),83,49,710,7
Split: earlier cutoff (Mar 2023),0.013085017650536315,0.013187414822334907,0.007764764601562835,0.744122261985117,9,0.01839895533539286,0.01336606655755592,3666,49,Split: earlier cutoff (Mar 2023),83,49,710,6
Split: later cutoff (Sep 2023),0.010661036891400808,0.010663239908803138,0.00020659925324495454,0.6974491324733278,3,0.014495703649751501,0.01077943615257048,1206,13,Split: later cutoff (Sep 2023),119,13,710,6
